Series,Concentration,Replicate,W,A
Adulterated,25%,1,1657,0.006974814
Adulterated,25%,1,1659,0.007030565
Adulterated,25%,2,1650,0.006405807
Adulterated,25%,2,1652,0.006503731
Adulterated,25%,2,1654,0.0060696
Adulterated,25%,2,1656,0.006716788
Adulterated,25%,2,1658,0.006960519
Adulterated,25%,2,1660,0.006961176
Adulterated,25%,3,1651,0.006392443
Adulterated,25%,3,1653,0.006107759
Adulterated,25%,3,1655,0.006202355
Adulterated,25%,3,1657,0.006861178
Adulterated,25%,3,1659,0.006983712
Adulterated,30%,1,1650,0.006435315
Adulterated,30%,1,1652,0.006541389
Adulterated,30%,1,1654,0.0060912
Adulterated,30%,1,1656,0.006807207
Adulterated,30%,1,1658,0.007042365
Adulterated,30%,1,1660,0.007031547
Adulterated,30%,2,1651,0.008272758
Adulterated,30%,2,1653,0.008069725
Adulterated,30%,2,1655,0.00826495
Adulterated,30%,2,1657,0.008860225
Adulterated,30%,2,1659,0.008904034
Adulterated,30%,3,1650,0.009210742
Adulterated,30%,3,1652,0.009491292
Adulterated,30%,3,1654,0.009047747
Adulterated,30%,3,1656,0.009668075
Adulterated,30%,3,1658,0.009864401
Adulterated,30%,3,1660,0.009749121
Adulterated,35%,1,1651,0.006373145
Adulterated,35%,1,1653,0.006454008
Adulterated,35%,1,1655,0.006468601
Adulterated,35%,1,1657,0.006827214
Adulterated,35%,1,1659,0.006880774
Adulterated,35%,2,1650,0.006043159
Adulterated,35%,2,1652,0.00659126
Adulterated,35%,2,1654,0.006274921
Adulterated,35%,2,1656,0.006529252
Adulterated,35%,2,1658,0.006701899
Adulterated,35%,2,1660,0.006711928
Adulterated,35%,3,1651,0.00666056
Adulterated,35%,3,1653,0.006720274
Adulterated,35%,3,1655,0.006629771
Adulterated,35%,3,1657,0.006852378
Adulterated,35%,3,1659,0.006898016
Adulterated,40%,1,1650,0.006199587
Adulterated,40%,1,1652,0.006823796
Adulterated,40%,1,1654,0.006467457
Adulterated,40%,1,1656,0.006689746
Adulterated,40%,1,1658,0.006826511
Adulterated,40%,1,1660,0.006823905
Adulterated,40%,2,1651,0.006456106
Adulterated,40%,2,1653,0.006709073
Adulterated,40%,2,1655,0.006607346
Adulterated,40%,2,1657,0.006756942
Adulterated,40%,2,1659,0.006790012
Adulterated,40%,3,1650,0.006813349
Adulterated,40%,3,1652,0.007587157
Adulterated,40%,3,1654,0.007378513
Adulterated,40%,3,1656,0.007485618
Adulterated,40%,3,1658,0.007537956
Adulterated,40%,3,1660,0.007481946
Adulterated,45%,1,1651,0.006270305
Adulterated,45%,1,1653,0.00668374
Adulterated,45%,1,1655,0.006613545
Adulterated,45%,1,1657,0.006772602
Adulterated,45%,1,1659,0.006837793
Adulterated,45%,2,1650,0.006002035
Adulterated,45%,2,1652,0.006753913
Adulterated,45%,2,1654,0.006558422
Adulterated,45%,2,1656,0.006684994
Adulterated,45%,2,1658,0.006758782
Adulterated,45%,2,1660,0.006744991
Adulterated,45%,3,1651,0.00736844
Adulterated,45%,3,1653,0.007847779
Adulterated,45%,3,1655,0.007725549
Adulterated,45%,3,1657,0.007801613
Adulterated,45%,3,1659,0.007796819
Adulterated,50%,1,1650,0.005969711
Adulterated,50%,1,1652,0.006732425
Adulterated,50%,1,1654,0.006643122
Adulterated,50%,1,1656,0.006734482
Adulterated,50%,1,1658,0.006766296
Adulterated,50%,1,1660,0.006711175
Adulterated,50%,2,1651,0.006378358
Adulterated,50%,2,1653,0.00688326
Adulterated,50%,2,1655,0.006771479
Adulterated,50%,2,1657,0.006724991
Adulterated,50%,2,1659,0.006708391
Adulterated,50%,3,1650,0.006286893
Adulterated,50%,3,1652,0.007256129
Adulterated,50%,3,1654,0.007065982
Adulterated,50%,3,1656,0.007018064
Adulterated,50%,3,1658,0.007081448
Adulterated,50%,3,1660,0.007069633
Adulterated,55%,1,1651,0.00596579
Adulterated,55%,1,1653,0.006324278
Adulterated,55%,1,1655,0.006157268
Adulterated,55%,1,1657,0.006179776
Adulterated,55%,1,1659,0.00622689
Adulterated,55%,2,1650,0.005950819
Adulterated,55%,2,1652,0.006622399
Adulterated,55%,2,1654,0.006582228
Adulterated,55%,2,1656,0.006544865
Adulterated,55%,2,1658,0.00667553
Adulterated,55%,2,1660,0.006626706
Adulterated,55%,3,1651,0.006716774
Adulterated,55%,3,1653,0.006951411
Adulterated,55%,3,1655,0.006940546
Adulterated,55%,3,1657,0.0070287
Adulterated,55%,3,1659,0.00702032
Adulterated,60%,1,1650,0.005503128
Adulterated,60%,1,1652,0.006184656
Adulterated,60%,1,1654,0.006187798
Adulterated,60%,1,1656,0.006109646
Adulterated,60%,1,1658,0.00623941
Adulterated,60%,1,1660,0.006176659
Adulterated,60%,2,1651,0.005988228
Adulterated,60%,2,1653,0.006273918
Adulterated,60%,2,1655,0.006216066
Adulterated,60%,2,1657,0.006320101
Adulterated,60%,2,1659,0.00635096
Adulterated,60%,3,1650,0.006215345
Adulterated,60%,3,1652,0.006907559
Adulterated,60%,3,1654,0.006897646
Adulterated,60%,3,1656,0.006720694
Adulterated,60%,3,1658,0.006817676
Adulterated,60%,3,1660,0.006733796
Pure VCO,0%,1,1119,0.1262
Pure VCO,0%,1,1117,0.1369
Pure VCO,0%,1,1115,0.1454
Pure VCO,0%,1,1113,0.1507
Pure VCO,0%,1,1111,0.1529
Pure VCO,0%,1,1109,0.1523
Pure VCO,0%,1,1107,0.1499
Pure VCO,0%,1,1105,0.1469
Pure VCO,0%,2,1120,0.1213
Pure VCO,0%,2,1118,0.1326
Pure VCO,0%,2,1116,0.1422
Pure VCO,0%,2,1114,0.1491
Pure VCO,0%,2,1112,0.1527
Pure VCO,0%,2,1110,0.1535
Pure VCO,0%,2,1108,0.152
Pure VCO,0%,2,1106,0.1493
Pure VCO,0%,3,1119,0.127
Pure VCO,0%,3,1117,0.1377
Pure VCO,0%,3,1115,0.1462
Pure VCO,0%,3,1113,0.1517
Pure VCO,0%,3,1111,0.1539
Pure VCO,0%,3,1109,0.1533
Pure VCO,0%,3,1107,0.151
Pure VCO,0%,3,1105,0.1483
Pure VCO,0%,4,1120,0.1216
Pure VCO,0%,4,1118,0.1329
Pure VCO,0%,4,1116,0.1428
Pure VCO,0%,4,1114,0.1499
Pure VCO,0%,4,1112,0.1537
Pure VCO,0%,4,1110,0.1544
Pure VCO,0%,4,1108,0.153
Pure VCO,0%,4,1106,0.1504
Pure VCO,0%,5,1119,0.1272
Pure VCO,0%,5,1117,0.1381
Pure VCO,0%,5,1115,0.1467
Pure VCO,0%,5,1113,0.1522
Pure VCO,0%,5,1111,0.1544
Pure VCO,0%,5,1109,0.154
Pure VCO,0%,5,1107,0.1519
Pure VCO,0%,5,1105,0.1491
Pure VCO,0%,6,1120,0.1221
Pure VCO,0%,6,1118,0.1334
Pure VCO,0%,6,1116,0.1433
Pure VCO,0%,6,1114,0.1505
Pure VCO,0%,6,1112,0.1544
Pure VCO,0%,6,1110,0.1552
Pure VCO,0%,6,1108,0.1539
Pure VCO,0%,6,1106,0.1513
Pure VCO,0%,7,1119,0.1273
Pure VCO,0%,7,1117,0.1381
Pure VCO,0%,7,1115,0.1468
Pure VCO,0%,7,1113,0.1524
Pure VCO,0%,7,1111,0.1546
Pure VCO,0%,7,1109,0.1542
Pure VCO,0%,7,1107,0.152
Pure VCO,0%,7,1105,0.1492
Pure VCO,0%,8,1120,0.1223
Pure VCO,0%,8,1118,0.1337
Pure VCO,0%,8,1116,0.1437
Pure VCO,0%,8,1114,0.151
Pure VCO,0%,8,1112,0.155
Pure VCO,0%,8,1110,0.1558
Pure VCO,0%,8,1108,0.1544
Pure VCO,0%,8,1106,0.1519
Pure VCO,0%,9,1119,0.1279
Pure VCO,0%,9,1117,0.1387
Pure VCO,0%,9,1115,0.1474
Pure VCO,0%,9,1113,0.15310000000000001
Pure VCO,0%,9,1111,0.1554
Pure VCO,0%,9,1109,0.155
Pure VCO,0%,9,1107,0.1528
Pure VCO,0%,9,1105,0.15
Pure VCO,0%,10,1120,0.1221
Pure VCO,0%,10,1118,0.1335
Pure VCO,0%,10,1116,0.1435
Pure VCO,0%,10,1114,0.1506
Pure VCO,0%,10,1112,0.1546
Pure VCO,0%,10,1110,0.1554
Pure VCO,0%,10,1108,0.1541
Pure VCO,0%,10,1106,0.1517
Pure VCO,0%,11,1119,0.1267
Pure VCO,0%,11,1117,0.138
Pure VCO,0%,11,1115,0.1462
Pure VCO,0%,11,1113,0.1511
Pure VCO,0%,11,1111,0.1547
Pure VCO,0%,11,1109,0.1551
Pure VCO,0%,11,1107,0.1533
Pure VCO,0%,11,1105,0.149
Pure VCO,0%,12,1120,0.1225
Pure VCO,0%,12,1118,0.1341
Pure VCO,0%,12,1116,0.1439
Pure VCO,0%,12,1114,0.1508
Pure VCO,0%,12,1112,0.1552
Pure VCO,0%,12,1110,0.1567
Pure VCO,0%,12,1108,0.1553
Pure VCO,0%,12,1106,0.1527
Pure VCO,0%,13,1119,0.1282
Pure VCO,0%,13,1117,0.139
Pure VCO,0%,13,1115,0.1478
Pure VCO,0%,13,1113,0.1535
Pure VCO,0%,13,1111,0.1558
Pure VCO,0%,13,1109,0.1555
Pure VCO,0%,13,1107,0.1534
Pure VCO,0%,13,1105,0.1507
Pure VCO,0%,14,1120,0.1227
Pure VCO,0%,14,1118,0.1342
Pure VCO,0%,14,1116,0.1443
Pure VCO,0%,14,1114,0.1515
Pure VCO,0%,14,1112,0.1554
Pure VCO,0%,14,1110,0.1565
Pure VCO,0%,14,1108,0.1555
Pure VCO,0%,14,1106,0.15310000000000001
Pure VCO,0%,15,1119,0.1305
Pure VCO,0%,15,1117,0.1416
Pure VCO,0%,15,1115,0.1507
Pure VCO,0%,15,1113,0.1566
Pure VCO,0%,15,1111,0.1593
Pure VCO,0%,15,1109,0.1594
Pure VCO,0%,15,1107,0.1577
Pure VCO,0%,15,1105,0.1554
Adulterated,5%,1,1105,0.143403126
Adulterated,5%,1,1107,0.146342274
Adulterated,5%,1,1109,0.148717326
Adulterated,5%,1,1111,0.149593883
Adulterated,5%,1,1113,0.148077569
Adulterated,5%,1,1115,0.143435144
Adulterated,5%,1,1117,0.135502938
Adulterated,5%,1,1119,0.125280418
Adulterated,5%,2,1106,0.14608518
Adulterated,5%,2,1108,0.148761089
Adulterated,5%,2,1110,0.150373008
